title,description,category
"Cannot connect to VPN","I keep getting an error 809 when trying to connect to the corporate VPN from home.","Network"
"Wi-Fi is down in building A","The wireless network in the entire building A seems to be offline since this morning.","Network"
"Slow internet connection","Download speeds are incredibly slow today, it takes minutes to load a simple page.","Network"
"Cannot access shared drive","The mapped network drive Z: is showing as disconnected and I cannot reconnect.","Network"
"IP address conflict","My computer is reporting an IP address conflict on the network.","Network"
"Application crashing on startup","The accounting software crashes immediately after I enter my credentials.","Software"
"Need license for IDE","Can I get a license key for the new JetBrains IDE? My trial expired.","Software"
"Getting 500 internal server error","The internal HR portal is returning a 500 error when I try to submit my timesheet.","Software"
"Excel freezes when opening file","Whenever I open the Q3 financial report, Excel completely freezes.","Software"
"Installation failed","I tried to install the required developer tools but the installation failed with code 1603.","Software"
"Laptop screen flickering","My external monitor works fine, but the laptop's built-in screen keeps flickering.","Hardware"
"Mouse not working","The wireless mouse has stopped working even after replacing the batteries.","Hardware"
"Keyboard missing a key","The 'Enter' key on my keyboard has popped off and won't go back on.","Hardware"
"Printer is jamming","The printer in the design department is jamming every time we print double-sided.","Hardware"
"Computer won't turn on","I press the power button on my desktop but nothing happens, no lights at all.","Hardware"
"Password reset needed","I forgot my password for the main portal and am locked out.","Account"
"Locked out of email","I tried typing my password too many times and now my email account is locked.","Account"
"Need access to GitHub repo","Please grant my user account read and write access to the main frontend repository.","Account"
"Change name in directory","I recently got married, please update my last name in the active directory.","Account"
"Remove access for former employee","John Doe left the company, please revoke all his access immediately.","Account"
"Suspicious email received","I got an email asking for my password from someone claiming to be IT.","Security"
"Malware detected on machine","My antivirus popped up saying it quarantined a trojan from a downloaded file.","Security"
"Unauthorized access attempt","I saw a login attempt to my account from an IP address in Russia.","Security"
"Lost company phone","I lost my company-issued smartphone, please wipe it remotely.","Security"
"Requesting firewall exception","I need port 443 open to a specific external IP for testing purposes.","Security"
